platform,day_of_week,publish_hour,post_format,content_category,caption_length,hashtag_count,caption_sentiment,has_call_to_action,follower_count,account_age_months,historical_avg_engagement,recent_engagement_trend,paid_promotion,engagement_score
Facebook,Tuesday,11,Text,Product,265,9,-0.309,Yes,17203,23,35.486,0.265,0,34.71
X,Wednesday,21,Carousel,Education,185,5,1.0,Yes,14919,116,29.167,-0.329,0,60.003
TikTok,Tuesday,16,Carousel,Community,204,4,0.134,No,15682,35,23.647,0.322,0,56.946
TikTok,Monday,21,Short Video,Community,179,4,0.197,Yes,4544,110,15.066,0.203,0,76.663
X,Sunday,1,Short Video,Community,74,10,0.226,Yes,14584,27,20.273,0.112,0,48.626
Instagram,Saturday,17,Image,Lifestyle,217,6,0.56,Yes,34553,126,6.411,0.097,0,33.067
Instagram,Wednesday,23,Short Video,Education,16,6,0.198,Yes,1025,20,28.213,-0.127,0,48.526
Facebook,Saturday,2,Text,Behind the Scenes,302,3,0.095,Yes,11565,83,20.774,0.303,0,41.496
Instagram,Sunday,22,Image,Lifestyle,12,3,0.811,No,21402,60,17.849,-0.455,0,34.613
Instagram,Wednesday,5,Image,Product,210,2,0.45,No,35417,88,45.0,-0.338,0,38.172
Facebook,Tuesday,11,Text,Behind the Scenes,294,2,1.0,Yes,4991,14,12.492,0.162,0,34.031
Facebook,Tuesday,16,Text,Product,171,2,-0.143,Yes,1759,31,30.995,-0.253,1,49.862
Facebook,Sunday,2,Image,Entertainment,150,5,-0.053,Yes,3850,33,35.978,0.059,0,59.561
TikTok,Sunday,15,Short Video,Community,358,3,-0.272,No,100960,94,45.0,0.089,0,85.465
Facebook,Friday,17,Carousel,Product,21,3,0.471,No,12152,54,14.719,0.215,0,36.863
Facebook,Friday,15,Image,Lifestyle,173,2,0.16,Yes,34047,94,1.664,0.403,0,35.981
LinkedIn,Wednesday,6,Image,Lifestyle,160,7,0.504,No,18334,31,27.547,0.233,0,48.557
LinkedIn,Thursday,3,Image,Behind the Scenes,198,3,0.77,No,7495,56,20.978,0.268,0,55.861
Facebook,Wednesday,15,Short Video,Behind the Scenes,58,6,-0.261,No,12888,143,6.902,0.08,0,29.859
X,Wednesday,6,Carousel,Education,67,8,0.08,Yes,2555,22,33.465,-0.475,0,38.586
LinkedIn,Saturday,3,Carousel,Education,152,3,0.831,No,59499,93,25.41,-0.379,0,53.747
Instagram,Thursday,15,Image,Education,136,4,-0.151,No,13660,99,26.903,-0.087,0,54.148
X,Wednesday,7,Image,Entertainment,133,5,-0.124,Yes,3106,71,45.0,-0.188,0,52.187
X,Tuesday,11,Short Video,Community,109,2,0.047,Yes,1939,14,10.875,0.679,0,58.033
TikTok,Friday,20,Short Video,Community,103,2,0.171,Yes,7763,106,31.829,0.167,0,84.498
Instagram,Thursday,15,Text,Lifestyle,41,6,0.902,Yes,2272,12,12.079,-0.07,1,44.278
Facebook,Monday,6,Image,Community,69,3,0.592,Yes,460166,76,21.764,0.144,0,49.867
TikTok,Friday,5,Image,Lifestyle,83,4,0.353,No,11893,136,26.651,0.184,0,57.158
LinkedIn,Wednesday,22,Short Video,Entertainment,78,4,0.315,Yes,9938,44,10.509,-0.111,0,37.744
Facebook,Wednesday,12,Carousel,Community,56,5,0.76,No,29363,15,25.987,-0.229,0,60.154
Instagram,Sunday,9,Short Video,Product,120,4,0.169,No,3080,10,13.78,0.184,0,50.462
Instagram,Friday,0,Short Video,Community,270,4,0.019,Yes,11229,109,22.565,0.235,0,44.435
X,Monday,9,Carousel,Lifestyle,83,7,-0.301,Yes,10435,11,9.006,0.316,0,40.711
Instagram,Saturday,1,Carousel,Behind the Scenes,114,6,0.583,Yes,46980,144,28.98,-0.26,0,59.778
LinkedIn,Wednesday,7,Carousel,Community,250,5,0.606,Yes,2331,111,21.811,-0.305,0,43.545
TikTok,Saturday,7,Short Video,Entertainment,163,4,0.508,Yes,10137,44,14.885,-0.277,0,67.404
TikTok,Wednesday,4,Image,Community,203,3,-0.032,Yes,2284,95,30.109,-0.297,0,48.006
Facebook,Thursday,0,Image,Community,209,3,-0.522,No,38489,34,20.708,0.013,0,35.354
Instagram,Friday,21,Short Video,Behind the Scenes,151,6,-0.024,No,11710,82,22.671,0.089,0,71.363
Facebook,Tuesday,9,Image,Community,70,2,0.266,No,10583,10,39.82,0.129,0,50.092
LinkedIn,Monday,12,Carousel,Entertainment,61,9,-0.126,Yes,1703,133,27.724,0.217,0,54.944
Instagram,Friday,7,Carousel,Behind the Scenes,219,3,-0.441,No,1105,26,12.103,-0.049,0,56.764
TikTok,Monday,10,Carousel,Product,47,5,0.352,Yes,20305,116,19.529,0.225,1,60.924
LinkedIn,Saturday,11,Image,Product,57,5,0.449,Yes,12817,127,10.781,0.084,0,39.728
LinkedIn,Thursday,3,Text,Behind the Scenes,151,6,-0.556,No,2812,16,28.213,0.369,0,52.107
Facebook,Monday,2,Image,Behind the Scenes,58,3,0.235,Yes,1722,58,16.515,-0.458,0,21.082
LinkedIn,Saturday,7,Text,Education,173,4,-0.515,No,13365,26,10.737,-0.157,0,29.323
Instagram,Sunday,10,Text,Community,154,7,1.0,No,8144,100,15.257,-0.307,0,53.538
Instagram,Monday,23,Image,Community,274,6,0.446,No,62322,119,36.558,-0.057,0,54.369
Facebook,Sunday,4,Image,Behind the Scenes,82,9,0.812,Yes,3099,32,45.0,-0.214,0,53.934
LinkedIn,Wednesday,4,Image,Community,274,7,-0.178,Yes,26676,119,24.291,0.459,0,33.297
LinkedIn,Friday,10,Text,Product,73,6,0.982,No,1171,107,8.496,0.349,0,55.147
Instagram,Tuesday,21,Text,Entertainment,218,4,0.049,No,11054,12,29.445,-0.571,0,36.159
Facebook,Monday,4,Short Video,Lifestyle,264,8,0.261,Yes,3242,57,2.139,-0.168,0,24.082
Facebook,Sunday,12,Text,Entertainment,378,4,0.047,Yes,3287,102,8.522,0.173,0,20.883
Instagram,Friday,15,Long Video,Lifestyle,143,7,0.025,Yes,2200,48,16.938,0.154,0,40.208
Facebook,Tuesday,23,Short Video,Product,115,6,-0.321,No,10342,115,5.63,-0.15,0,21.191
Facebook,Wednesday,4,Text,Lifestyle,347,7,-0.029,Yes,10059,75,33.992,0.069,0,34.867
Instagram,Saturday,9,Short Video,Education,21,3,0.303,Yes,3150,5,19.22,0.005,0,57.341
TikTok,Wednesday,0,Carousel,Community,51,6,0.648,Yes,7791,132,12.94,-0.187,0,48.621
Instagram,Friday,8,Short Video,Lifestyle,105,5,0.09,Yes,19744,53,22.143,0.19,0,74.289
X,Monday,23,Long Video,Lifestyle,148,8,-0.25,No,3768,102,6.654,0.199,0,36.898
Instagram,Sunday,14,Carousel,Lifestyle,70,5,-0.144,Yes,63468,2,31.017,-0.295,0,47.088
Instagram,Saturday,16,Short Video,Education,195,4,0.185,Yes,85018,40,19.942,0.075,0,61.072
Instagram,Wednesday,14,Image,Community,299,6,0.401,No,2124,77,9.711,-0.217,0,35.93
Instagram,Thursday,18,Image,Education,102,4,0.029,No,5744,39,7.439,0.644,0,31.038
Instagram,Tuesday,3,Carousel,Community,32,5,0.579,Yes,5436,60,8.926,-0.176,0,42.032
Facebook,Thursday,1,Short Video,Community,167,8,-0.292,No,13982,67,16.255,-0.095,0,21.901
Instagram,Wednesday,15,Image,Entertainment,318,4,-0.09,No,5498,128,15.951,0.199,1,40.37
Instagram,Wednesday,15,Image,Behind the Scenes,60,9,0.47,No,2330,127,30.82,-0.096,0,54.601
Instagram,Saturday,10,Image,Product,75,8,0.477,Yes,7058,61,26.575,-0.346,0,48.134
TikTok,Wednesday,12,Text,Education,90,7,-0.247,No,37158,104,13.021,0.359,0,42.765
Instagram,Monday,1,Short Video,Entertainment,181,5,0.813,Yes,13946,105,32.173,0.003,0,75.157
Facebook,Thursday,22,Image,Entertainment,124,7,0.369,Yes,6941,142,3.715,-0.046,1,43.885
Facebook,Monday,4,Short Video,Education,190,5,0.235,Yes,42310,60,6.643,0.531,0,59.801
LinkedIn,Thursday,16,Short Video,Product,146,7,0.435,No,371468,123,27.459,0.473,0,75.186
Instagram,Friday,8,Short Video,Entertainment,37,6,0.251,Yes,8858,57,9.36,0.388,0,51.74
X,Monday,4,Long Video,Community,113,5,0.475,No,37819,75,13.029,-0.205,0,36.252
LinkedIn,Monday,1,Short Video,Product,325,6,0.341,Yes,5525,90,32.422,0.11,0,57.856
Instagram,Wednesday,3,Carousel,Community,120,3,0.396,Yes,50658,36,17.682,0.422,0,60.698
TikTok,Thursday,16,Long Video,Entertainment,50,5,0.182,No,821,143,34.487,-0.054,0,49.685
LinkedIn,Monday,5,Image,Behind the Scenes,85,5,0.233,No,18304,43,21.755,-0.392,0,31.894
TikTok,Wednesday,14,Text,Community,95,3,-0.016,Yes,87592,6,3.816,-0.045,0,38.774
TikTok,Saturday,14,Text,Product,94,3,0.012,Yes,3705,95,20.937,-0.314,0,34.462
Facebook,Thursday,3,Carousel,Behind the Scenes,16,8,0.495,Yes,60290,98,8.413,-0.005,0,40.849
Instagram,Thursday,10,Long Video,Lifestyle,182,9,0.668,Yes,31573,70,9.899,0.159,0,28.001
X,Monday,11,Text,Lifestyle,69,6,0.397,No,8479,68,24.613,-0.325,0,36.382
Instagram,Saturday,22,Text,Behind the Scenes,82,7,0.165,No,46056,23,27.458,-0.083,0,51.365
Instagram,Friday,20,Image,Behind the Scenes,318,10,0.553,Yes,3619,131,43.006,0.092,0,58.93
Instagram,Thursday,18,Image,Entertainment,146,9,0.384,No,25112,104,26.478,0.019,0,50.918
TikTok,Friday,8,Short Video,Community,109,10,-0.162,Yes,32116,72,17.296,0.606,0,61.421
X,Tuesday,2,Short Video,Entertainment,129,5,0.076,Yes,2157,83,32.726,-0.28,0,46.099
LinkedIn,Friday,6,Carousel,Education,30,5,0.436,Yes,7328,8,11.156,0.157,1,45.318
X,Wednesday,22,Image,Entertainment,235,3,0.42,Yes,7672,76,11.737,-0.256,0,29.301
Facebook,Monday,9,Carousel,Education,185,5,0.246,No,7247,31,30.036,-0.202,0,32.631
TikTok,Tuesday,18,Carousel,Entertainment,29,4,0.683,Yes,3132,144,10.039,-0.014,0,56.322
TikTok,Wednesday,2,Carousel,Entertainment,19,5,-0.442,Yes,9288,6,20.454,0.012,1,68.275
Instagram,Thursday,0,Carousel,Lifestyle,210,3,-0.074,No,2367,112,35.162,0.126,1,68.983
X,Tuesday,10,Carousel,Behind the Scenes,50,7,0.13,Yes,13903,57,8.831,0.224,0,40.318
TikTok,Saturday,21,Short Video,Entertainment,254,4,0.983,Yes,20079,124,4.249,0.282,0,70.963
TikTok,Tuesday,19,Carousel,Lifestyle,82,4,0.299,Yes,8421,105,44.828,-0.018,1,84.567
Facebook,Monday,15,Image,Behind the Scenes,107,7,0.026,No,13633,81,25.154,-0.086,0,34.017
LinkedIn,Tuesday,4,Carousel,Lifestyle,134,4,-0.103,Yes,8664,99,8.041,0.635,0,43.737
Instagram,Wednesday,8,Image,Behind the Scenes,243,5,0.731,No,4553,140,23.86,0.181,0,45.257
LinkedIn,Monday,5,Image,Community,161,7,0.24,No,1123,118,45.0,-0.329,0,35.461
LinkedIn,Monday,1,Short Video,Behind the Scenes,318,3,0.219,Yes,8295,66,13.052,-0.189,0,44.141
LinkedIn,Tuesday,2,Short Video,Community,210,5,0.129,No,12016,139,16.868,0.332,0,34.763
Instagram,Wednesday,19,Carousel,Community,183,6,0.118,Yes,80693,51,18.096,0.415,0,66.252
Instagram,Sunday,1,Text,Community,296,3,-0.15,Yes,3618,43,11.601,0.011,0,15.055
TikTok,Friday,5,Long Video,Community,149,6,0.06,No,4238,109,23.363,0.027,0,49.886
X,Monday,8,Text,Behind the Scenes,114,9,0.502,Yes,2602,6,13.859,0.046,1,17.628
X,Monday,11,Short Video,Education,154,6,0.445,Yes,2759,83,16.281,-0.393,1,54.042
Facebook,Monday,21,Short Video,Education,178,6,0.746,Yes,16861,50,5.272,-0.224,0,23.335
Instagram,Monday,22,Short Video,Lifestyle,137,3,0.361,No,8286,94,45.0,-0.375,0,57.339
Instagram,Thursday,23,Short Video,Lifestyle,198,8,-0.12,Yes,7548,28,36.304,0.047,0,50.316
Facebook,Saturday,18,Short Video,Product,76,7,-0.044,No,10177,87,21.57,0.263,0,46.351
Instagram,Thursday,2,Carousel,Entertainment,291,4,0.048,Yes,26734,8,10.163,-0.484,0,42.282
Facebook,Wednesday,13,Image,Behind the Scenes,530,8,0.331,No,2127,20,45.0,-0.055,0,40.826
LinkedIn,Friday,18,Long Video,Entertainment,77,2,0.147,Yes,6233,78,25.55,-0.019,0,54.357
TikTok,Wednesday,9,Carousel,Education,106,2,-0.403,Yes,5577,46,14.082,-0.109,0,44.876
TikTok,Saturday,20,Short Video,Community,86,0,0.064,No,5213,52,30.26,-0.303,0,68.249
Instagram,Friday,15,Carousel,Product,25,5,0.462,No,4409,90,45.0,-0.12,0,45.47
Instagram,Sunday,14,Short Video,Behind the Scenes,244,6,0.7,Yes,3891,88,21.914,0.25,0,68.59
LinkedIn,Monday,14,Short Video,Lifestyle,207,2,0.524,No,10745,134,4.338,-0.282,0,29.088
TikTok,Thursday,6,Short Video,Behind the Scenes,28,4,0.557,Yes,10704,32,20.558,0.217,0,59.37
Instagram,Sunday,5,Image,Education,150,4,0.575,No,7769,51,14.278,0.341,0,48.95
Instagram,Friday,2,Image,Lifestyle,118,9,0.501,No,1815,24,7.793,-0.339,0,26.636
Instagram,Saturday,19,Image,Behind the Scenes,152,3,0.634,Yes,122121,67,34.948,-0.217,0,70.973
Facebook,Thursday,20,Short Video,Education,146,8,-0.154,No,8574,128,25.876,0.42,0,60.301
Facebook,Wednesday,2,Carousel,Behind the Scenes,162,3,1.0,Yes,19090,10,24.19,-0.444,0,53.778
Facebook,Saturday,4,Image,Behind the Scenes,149,0,0.68,No,1081,38,19.861,-0.075,0,35.458
TikTok,Thursday,5,Image,Education,114,7,0.453,Yes,12084,98,25.084,0.108,0,54.351
Instagram,Wednesday,14,Long Video,Product,130,7,0.499,Yes,12249,118,30.206,0.342,0,53.136
TikTok,Wednesday,3,Image,Entertainment,124,4,0.539,Yes,4293,26,17.155,0.101,0,46.928
Instagram,Monday,1,Carousel,Entertainment,329,3,0.272,Yes,5759,135,7.959,-0.038,0,36.75
X,Saturday,14,Short Video,Product,38,3,0.545,Yes,4108,102,15.853,0.026,0,33.534
Instagram,Saturday,0,Short Video,Lifestyle,146,6,0.766,No,21120,23,12.373,0.142,0,60.899
TikTok,Monday,0,Image,Entertainment,23,9,0.79,No,3842,115,30.072,0.042,0,50.344
Instagram,Wednesday,1,Short Video,Behind the Scenes,250,6,0.224,Yes,427109,88,45.0,0.147,0,79.66
LinkedIn,Friday,22,Image,Community,176,1,-0.139,Yes,5783,25,16.146,0.268,0,29.008
Instagram,Tuesday,23,Short Video,Entertainment,141,5,0.047,Yes,1759,41,19.226,-0.186,0,53.265
X,Wednesday,14,Carousel,Community,276,6,0.067,Yes,12219,60,16.674,0.141,0,39.531
Instagram,Sunday,10,Short Video,Behind the Scenes,67,1,-0.111,Yes,20905,58,16.374,0.028,0,55.897
LinkedIn,Saturday,21,Short Video,Lifestyle,85,4,0.242,No,8400,51,27.052,-0.257,1,38.646
Facebook,Sunday,2,Text,Product,96,3,0.903,No,4247,63,14.009,-0.415,0,9.778
Instagram,Sunday,2,Carousel,Behind the Scenes,143,4,0.148,No,1094,70,13.884,-0.279,0,36.215
Instagram,Friday,11,Image,Lifestyle,119,5,0.069,No,8185,111,24.609,0.159,0,57.284
TikTok,Tuesday,5,Carousel,Education,185,7,0.104,Yes,9487,3,7.492,-0.067,0,34.747
LinkedIn,Sunday,11,Short Video,Education,124,5,0.295,Yes,2881,134,22.36,0.119,0,58.803
X,Thursday,18,Image,Entertainment,206,3,0.169,No,10323,12,7.319,-0.394,0,28.874
Instagram,Thursday,0,Text,Education,50,6,0.343,No,35273,135,7.694,0.078,0,43.043
TikTok,Thursday,20,Image,Community,315,4,0.469,Yes,40853,88,31.118,-0.273,0,73.396
Instagram,Thursday,21,Text,Behind the Scenes,41,3,0.506,No,14227,118,13.431,-0.298,0,49.199
Instagram,Thursday,6,Carousel,Product,162,2,-0.012,Yes,6814,66,8.619,-0.033,0,54.063
Facebook,Saturday,21,Short Video,Behind the Scenes,41,3,0.161,Yes,980,42,32.525,0.445,0,62.921
TikTok,Tuesday,17,Short Video,Product,220,7,0.564,No,5479,133,15.742,-0.384,0,56.133
Instagram,Thursday,7,Image,Behind the Scenes,128,2,0.033,Yes,9636,96,37.545,-0.018,1,54.327
X,Friday,20,Carousel,Product,8,5,0.003,Yes,5640,44,35.566,0.107,0,53.686
LinkedIn,Thursday,23,Carousel,Lifestyle,48,5,0.207,Yes,71719,138,39.293,-0.258,0,53.425
LinkedIn,Saturday,7,Image,Behind the Scenes,364,3,0.19,No,10497,78,10.083,-0.11,0,38.341
Instagram,Wednesday,17,Short Video,Community,139,5,0.026,No,61185,58,2.307,0.267,0,34.288
X,Sunday,8,Image,Lifestyle,71,4,0.949,Yes,5074,10,15.955,0.088,0,34.919
Facebook,Monday,13,Short Video,Lifestyle,105,3,-0.351,Yes,7688,13,18.554,0.27,0,42.446
TikTok,Saturday,9,Carousel,Education,134,1,0.811,No,4320,106,6.348,0.094,0,33.245
Instagram,Tuesday,0,Text,Lifestyle,48,6,0.548,No,12214,115,23.7,0.226,0,48.539
X,Friday,18,Text,Community,35,6,0.71,Yes,9041,131,16.717,-0.112,0,30.865
Facebook,Monday,0,Image,Entertainment,61,8,-0.375,Yes,11154,32,45.0,0.273,1,60.993
LinkedIn,Tuesday,8,Long Video,Product,93,3,0.696,No,17095,92,26.549,0.197,0,54.77
Facebook,Wednesday,15,Image,Community,17,6,0.234,Yes,22136,120,32.239,-0.167,0,61.796
LinkedIn,Monday,2,Short Video,Product,134,4,0.963,Yes,34223,19,3.93,0.368,0,42.407
LinkedIn,Wednesday,6,Long Video,Entertainment,136,2,0.397,Yes,15295,46,19.569,-0.349,0,38.186
X,Friday,13,Carousel,Entertainment,112,7,0.157,No,5736,81,25.934,-0.066,1,47.508
Instagram,Tuesday,7,Short Video,Product,127,6,0.559,No,35527,1,27.336,0.166,0,49.596
Instagram,Friday,1,Image,Community,297,6,0.148,Yes,7559,133,18.181,-0.279,0,42.015
LinkedIn,Thursday,13,Text,Behind the Scenes,41,6,0.368,No,7127,39,15.361,-0.482,0,34.621
TikTok,Saturday,13,Carousel,Education,96,7,-0.226,Yes,15322,70,12.265,0.562,0,68.3
Facebook,Friday,0,Image,Entertainment,47,11,-0.146,No,7204,85,18.099,-0.055,1,42.798
LinkedIn,Thursday,7,Image,Entertainment,162,6,0.09,Yes,1974,11,11.511,0.204,0,41.746
Facebook,Saturday,13,Short Video,Product,79,5,0.602,No,1246,140,16.468,-0.128,0,33.665
LinkedIn,Tuesday,16,Short Video,Education,16,5,0.542,No,11042,80,9.226,-0.136,0,29.322
TikTok,Thursday,5,Short Video,Entertainment,310,8,-0.111,Yes,3863,92,26.411,0.412,0,51.87
X,Tuesday,4,Short Video,Community,39,8,-0.06,Yes,1962,96,10.892,-0.45,1,51.752
Instagram,Thursday,7,Carousel,Community,80,4,0.768,Yes,24598,72,23.993,-0.015,0,58.03
Facebook,Thursday,17,Short Video,Community,191,4,0.462,No,121473,19,11.204,-0.291,0,29.845
X,Friday,6,Image,Education,143,7,0.822,Yes,17941,58,10.295,-0.346,0,29.895
Instagram,Wednesday,22,Image,Product,39,5,0.696,Yes,3534,4,8.856,-0.13,0,38.494
TikTok,Friday,1,Image,Community,130,8,0.936,Yes,9611,95,28.783,0.301,0,61.6
TikTok,Tuesday,17,Long Video,Entertainment,189,6,-0.29,No,4213,78,12.741,0.052,0,55.184
Facebook,Tuesday,23,Carousel,Community,122,7,0.501,No,4802,26,18.032,0.084,0,30.09
TikTok,Monday,7,Image,Education,228,3,0.146,Yes,12052,61,15.375,0.236,0,33.983
Instagram,Thursday,6,Text,Behind the Scenes,146,8,0.502,No,24364,63,15.267,0.214,0,47.272
X,Wednesday,13,Carousel,Entertainment,112,3,0.099,Yes,4763,27,39.77,-0.027,1,60.887
Instagram,Saturday,15,Image,Behind the Scenes,149,2,0.209,Yes,86269,44,6.653,-0.09,0,32.84
Facebook,Wednesday,20,Carousel,Lifestyle,299,4,0.528,No,6248,106,13.225,-0.225,0,36.832
Facebook,Friday,21,Text,Community,127,5,0.85,No,2326,107,27.649,-0.215,1,28.547
Instagram,Sunday,18,Long Video,Lifestyle,69,4,0.714,No,21067,135,14.024,0.111,0,47.126
Instagram,Friday,8,Short Video,Entertainment,175,2,0.605,No,16610,128,16.587,-0.004,0,41.757
X,Saturday,1,Long Video,Community,219,4,-0.213,No,6987,25,28.306,-0.125,0,47.89
Facebook,Thursday,12,Short Video,Community,26,1,0.056,No,23766,59,28.9,0.317,0,59.432
Instagram,Tuesday,1,Long Video,Behind the Scenes,222,4,0.093,No,12321,54,35.072,-0.011,0,35.325
LinkedIn,Thursday,18,Text,Entertainment,126,6,0.113,No,2675,136,25.945,-0.154,0,53.093
TikTok,Saturday,2,Carousel,Community,170,4,0.098,No,24856,124,6.62,-0.098,0,46.268
Instagram,Monday,2,Carousel,Lifestyle,280,2,-0.29,No,7782,124,11.878,-0.334,0,19.545
Facebook,Thursday,11,Image,Lifestyle,31,2,0.229,Yes,101763,43,3.853,0.277,0,42.157
TikTok,Thursday,14,Short Video,Entertainment,104,2,-0.08,No,87980,65,25.815,-0.454,0,60.507
Instagram,Sunday,4,Image,Education,142,5,0.374,Yes,40133,125,34.059,-0.403,0,61.653
X,Sunday,13,Short Video,Product,92,0,0.135,Yes,5385,25,37.658,-0.115,0,61.295
TikTok,Friday,16,Text,Behind the Scenes,239,8,-0.108,Yes,2287,36,19.819,-0.163,0,34.111
Instagram,Tuesday,3,Short Video,Product,31,8,0.337,Yes,8347,47,13.21,0.199,0,50.187
Instagram,Tuesday,21,Image,Community,230,2,0.498,Yes,5444,143,6.396,0.25,0,34.377
LinkedIn,Friday,4,Image,Community,196,5,-0.139,Yes,20278,114,11.036,0.123,0,39.199
LinkedIn,Tuesday,0,Text,Entertainment,31,4,0.011,No,13913,98,24.012,-0.204,0,36.267
X,Friday,22,Short Video,Behind the Scenes,63,4,0.021,No,2788,27,22.645,0.035,0,45.131
Instagram,Sunday,17,Short Video,Behind the Scenes,150,6,0.154,Yes,43347,3,14.61,0.026,1,44.592
LinkedIn,Tuesday,17,Carousel,Community,65,3,0.272,No,60919,14,16.192,-0.081,0,31.452
Facebook,Sunday,0,Short Video,Education,59,7,-0.086,No,11892,31,44.27,0.036,0,64.793
TikTok,Monday,11,Short Video,Education,212,3,0.861,Yes,5492,13,16.822,0.279,0,75.99
Instagram,Thursday,1,Long Video,Lifestyle,91,6,0.147,No,93527,62,3.29,-0.158,0,25.176
LinkedIn,Wednesday,18,Short Video,Behind the Scenes,19,4,0.06,No,3118,5,28.673,0.227,0,55.324
Instagram,Thursday,10,Carousel,Lifestyle,41,4,0.195,No,23699,59,11.671,0.083,0,56.71
Facebook,Thursday,21,Short Video,Behind the Scenes,10,8,0.374,Yes,19123,27,22.236,0.275,0,68.18
Facebook,Thursday,23,Short Video,Entertainment,37,7,0.172,No,2717,103,26.087,-0.09,0,48.141
Instagram,Monday,7,Image,Community,51,5,0.994,No,17950,7,16.92,0.547,0,38.109
X,Saturday,7,Short Video,Education,103,7,0.268,No,13332,98,14.036,0.398,0,42.281
LinkedIn,Sunday,23,Carousel,Lifestyle,105,6,0.753,No,3964,25,10.241,0.188,0,39.537
TikTok,Thursday,12,Text,Education,202,5,0.413,Yes,19157,30,45.0,-0.307,0,56.853
Facebook,Saturday,17,Carousel,Education,241,9,0.09,Yes,1319,26,39.101,0.089,0,55.696
TikTok,Monday,23,Short Video,Product,134,4,-0.168,Yes,24051,139,31.381,-0.257,0,59.575
LinkedIn,Saturday,9,Short Video,Entertainment,58,3,0.404,Yes,3529,74,27.653,-0.008,1,67.798
Instagram,Wednesday,15,Long Video,Behind the Scenes,109,10,0.443,Yes,14364,2,40.995,0.292,0,56.905
TikTok,Friday,18,Text,Behind the Scenes,147,3,0.29,No,28363,7,13.873,0.045,0,33.352
TikTok,Thursday,8,Image,Behind the Scenes,80,5,0.625,Yes,24085,72,19.779,0.139,0,64.704
TikTok,Monday,15,Image,Community,243,6,-0.101,Yes,31538,71,45.0,0.029,0,71.084
TikTok,Wednesday,7,Short Video,Lifestyle,226,6,-0.346,Yes,3608,115,21.016,-0.021,0,53.664
Instagram,Thursday,18,Short Video,Entertainment,144,2,-0.028,Yes,1123,30,30.516,0.044,0,46.706
X,Saturday,6,Short Video,Community,87,7,0.787,Yes,3582,142,19.91,0.058,0,52.063
Instagram,Monday,11,Carousel,Community,56,8,0.725,Yes,699,104,39.7,-0.248,0,71.237
Instagram,Sunday,1,Long Video,Entertainment,100,5,0.439,Yes,10233,69,14.024,-0.244,0,37.26
TikTok,Monday,20,Short Video,Entertainment,174,5,0.344,No,28599,7,16.352,-0.081,0,59.37
Facebook,Tuesday,2,Carousel,Community,288,9,0.381,Yes,1897,71,32.549,0.547,0,53.48
Instagram,Monday,0,Carousel,Community,54,5,0.892,No,5078,92,30.545,0.03,0,60.838
Facebook,Sunday,17,Text,Lifestyle,259,4,0.33,Yes,79185,23,15.144,-0.56,0,22.646
LinkedIn,Thursday,4,Carousel,Education,293,7,0.076,Yes,18315,70,18.701,-0.162,0,50.009
Instagram,Saturday,13,Image,Product,160,4,0.807,Yes,4587,119,28.192,0.208,0,58.175
X,Friday,23,Text,Education,155,5,0.805,Yes,2520,66,22.545,0.063,0,35.941
TikTok,Friday,3,Short Video,Education,76,4,0.491,Yes,4025,118,23.536,0.242,0,69.82
Facebook,Wednesday,5,Short Video,Behind the Scenes,78,8,0.275,Yes,16374,32,21.024,0.122,0,55.322
Instagram,Monday,9,Long Video,Community,252,6,0.264,No,17315,128,11.001,0.646,0,41.39
LinkedIn,Thursday,19,Image,Community,53,12,0.276,No,10853,18,26.075,-0.066,0,32.916
LinkedIn,Wednesday,5,Short Video,Product,107,3,0.442,No,8617,6,16.086,-0.1,0,41.76
Instagram,Thursday,23,Carousel,Community,81,4,0.28,Yes,986,7,14.739,-0.287,0,34.931
Instagram,Sunday,10,Text,Product,122,2,0.464,Yes,3864,35,19.434,-0.098,0,29.41
Instagram,Monday,17,Image,Behind the Scenes,210,6,0.347,Yes,65813,104,45.0,-0.361,1,54.59
Instagram,Friday,14,Image,Entertainment,22,3,1.0,Yes,8180,52,17.591,-0.041,0,36.309
X,Tuesday,11,Image,Lifestyle,117,4,0.393,No,5481,70,10.35,-0.015,0,31.787
Facebook,Friday,2,Carousel,Lifestyle,223,4,-0.049,Yes,13489,32,24.72,0.253,0,55.285
Facebook,Friday,10,Image,Lifestyle,46,4,0.384,Yes,5985,75,34.893,-0.003,0,52.685
X,Monday,17,Short Video,Education,238,2,0.558,No,3244,24,18.184,-0.494,0,31.404
LinkedIn,Thursday,4,Short Video,Behind the Scenes,36,9,-0.23,Yes,126539,46,44.589,0.508,0,71.896
LinkedIn,Wednesday,0,Image,Lifestyle,73,3,0.017,No,2340,129,34.594,-0.176,0,40.432
TikTok,Thursday,12,Text,Product,111,5,0.624,No,3890,65,7.248,-0.352,0,25.292
TikTok,Thursday,0,Text,Entertainment,194,10,-0.707,Yes,14623,141,18.98,-0.208,0,34.438
TikTok,Thursday,7,Image,Education,242,3,0.03,Yes,2389,58,10.877,0.137,0,37.744
TikTok,Friday,20,Image,Community,73,5,0.697,No,11464,25,15.408,-0.009,1,62.162
TikTok,Tuesday,5,Short Video,Lifestyle,220,4,0.12,Yes,9137,128,18.773,-0.144,0,63.543
Instagram,Saturday,17,Carousel,Education,225,3,0.249,Yes,2226,134,16.37,0.059,1,42.997
